Nervousness,Unable to control,Worry,Trouble in Relaxation,Restlessness,Irritability,Fear,Stress
Severe,Moderate,Mild,No,Mild,Mild,No,Mild
No,No,Mild,Mild,No,Mild,Moderate,Mild
Severe,Severe,Mild,Severe,Severe,Mild,Severe,Severe
No,Severe,Severe,Mild,Severe,No,Severe,Moderate
Mild,No,No,No,No,No,Mild,No
Mild,Mild,Moderate,Severe,Severe,Severe,Severe,Severe
Mild,Mild,Moderate,Severe,Mild,No,Mild,Mild
Moderate,Severe,Severe,Mild,Severe,No,Severe,Moderate
Mild,Mild,Severe,No,Severe,Mild,Moderate,Moderate
No,Moderate,Mild,Severe,Moderate,Severe,Moderate,Moderate
Mild,No,Moderate,Moderate,Mild,Severe,Severe,Moderate
Severe,No,No,No,No,No,Mild,No
Severe,Mild,Moderate,Moderate,No,No,No,Mild
Moderate,No,No,Moderate,Moderate,No,Mild,Mild
Moderate,No,No,Severe,Severe,Moderate,Mild,Moderate
Moderate,Severe,Mild,No,No,Severe,Moderate,Moderate
Mild,Severe,Moderate,Moderate,Mild,Moderate,Moderate,Moderate
Mild,No,Severe,Severe,Mild,Moderate,Moderate,Moderate
Severe,Severe,No,Severe,No,Severe,Moderate,Moderate
Mild,Severe,No,Severe,Severe,Mild,Severe,Moderate
No,Severe,No,No,Moderate,Severe,Moderate,Mild
Severe,Severe,No,Moderate,No,Mild,Moderate,Moderate
No,Mild,No,No,No,Mild,Severe,Mild
Mild,Mild,Mild,Mild,Moderate,No,Mild,Mild
Mild,Moderate,Mild,Severe,Moderate,Mild,Mild,Moderate
Severe,Severe,No,Mild,Severe,Moderate,Severe,Moderate
Mild,No,Moderate,Mild,No,No,No,No
No,Severe,No,Moderate,Severe,Moderate,Moderate,Moderate
No,Mild,Moderate,Moderate,Moderate,Moderate,No,Mild
Mild,Severe,Moderate,Severe,Moderate,Mild,No,Moderate
Mild,Mild,Moderate,Mild,No,Moderate,No,Mild
Moderate,Mild,Mild,Severe,Severe,No,Mild,Moderate
Moderate,No,No,Severe,Mild,Severe,Moderate,Moderate
Moderate,No,Mild,Severe,No,Moderate,Severe,Moderate
Mild,Mild,No,Severe,Moderate,Moderate,No,Mild
No,Severe,Moderate,Severe,Severe,No,Moderate,Moderate
Mild,No,No,Moderate,No,Moderate,Severe,Mild
No,Moderate,Mild,Severe,No,Moderate,Moderate,Mild
Mild,Severe,Severe,Mild,Moderate,Moderate,Severe,Moderate
Moderate,No,Mild,Moderate,Severe,Severe,Severe,Moderate
Mild,Severe,Severe,No,Severe,No,No,Mild
No,No,Severe,Moderate,Severe,Mild,Mild,Mild
Mild,No,Severe,Mild,Moderate,Moderate,Moderate,Moderate
Severe,Moderate,Mild,No,Severe,Moderate,No,Moderate
Moderate,Severe,Mild,Mild,Moderate,No,Moderate,Moderate
Moderate,Mild,No,Mild,Moderate,Mild,Moderate,Mild
Severe,No,Severe,Mild,Mild,Moderate,Severe,Moderate
Moderate,Severe,Moderate,Moderate,No,Moderate,No,Moderate
Mild,Moderate,Mild,Severe,Severe,Mild,Severe,Moderate
Mild,Moderate,Severe,Moderate,Moderate,Mild,Mild,Moderate
No,Severe,Moderate,Mild,Moderate,Mild,Severe,Moderate
Moderate,Severe,No,Severe,Severe,No,No,Moderate
Mild,Mild,Mild,Mild,Mild,No,Moderate,Mild
No,Moderate,No,Mild,Moderate,Mild,Severe,Mild
No,No,Severe,Severe,No,Moderate,Moderate,Mild
No,No,Severe,Moderate,Mild,Severe,No,Mild
No,Moderate,Severe,Severe,Mild,Severe,Mild,Moderate
Mild,No,No,Moderate,Moderate,Mild,No,Mild
Mild,Mild,Severe,No,Mild,No,Moderate,Mild
